ID,Time,Angle
0f,2023-09-05 14:46:05,359.8516845703125
0f,2023-09-05 14:46:06,1.043701171875
0f,2023-09-05 14:46:07,1.20849609375
0f,2023-09-05 14:46:08,353.133544921875
0f,2023-09-05 14:46:09,344.915771484375
0f,2023-09-05 14:46:10,275.086669921875
0f,2023-09-05 14:46:11,187.5421142578125
0f,2023-09-05 14:46:12,184.339599609375
0f,2023-09-05 14:46:13,133.39599609375
0f,2023-09-05 14:46:14,162.432861328125
0f,2023-09-05 14:46:15,136.6094970703125
0f,2023-09-05 14:46:16,163.0206298828125
0f,2023-09-05 14:46:17,204.114990234375
0f,2023-09-05 14:46:18,200.1544189453125
0f,2023-09-05 14:46:19,207.1636962890625
0f,2023-09-05 14:46:20,197.1441650390625
0f,2023-09-05 14:46:21,262.760009765625
0f,2023-09-05 14:46:22,153.6932373046875
0f,2023-09-05 14:46:23,181.5545654296875
0f,2023-09-05 14:46:24,254.7235107421875
0f,2023-09-05 14:46:25,242.5726318359375
0f,2023-09-05 14:46:26,210.52001953125
0f,2023-09-05 14:46:27,256.0198974609375
0f,2023-09-05 14:46:28,272.8564453125
0f,2023-09-05 14:46:29,241.116943359375
0f,2023-09-05 14:46:30,255.30029296875
0f,2023-09-05 14:46:31,271.7138671875
0f,2023-09-05 14:46:32,273.0157470703125
0f,2023-09-05 14:46:33,255.30029296875
0f,2023-09-05 14:46:34,251.0101318359375
0f,2023-09-05 14:46:35,247.2088623046875
0f,2023-09-05 14:46:36,251.3507080078125
0f,2023-09-05 14:46:37,249.8126220703125
0f,2023-09-05 14:46:38,248.587646484375
0f,2023-09-05 14:46:39,246.5771484375
0f,2023-09-05 14:46:40,246.97265625
0f,2023-09-05 14:46:41,248.0657958984375
0f,2023-09-05 14:46:42,248.587646484375
0f,2023-09-05 14:46:43,248.7579345703125
0f,2023-09-05 14:46:44,248.9227294921875
0f,2023-09-05 14:46:45,249.9554443359375
0f,2023-09-05 14:46:46,250.5487060546875
0f,2023-09-05 14:46:47,249.2962646484375
0f,2023-09-05 14:46:48,248.1536865234375
0f,2023-09-05 14:46:49,248.0438232421875
0f,2023-09-05 14:46:50,248.1427001953125
0f,2023-09-05 14:46:51,248.994140625
0f,2023-09-05 14:46:52,249.093017578125
0f,2023-09-05 14:46:53,249.4061279296875
0f,2023-09-05 14:46:54,249.06005859375
0f,2023-09-05 14:46:55,249.5379638671875
0f,2023-09-05 14:46:56,248.1866455078125
0f,2023-09-05 14:46:57,236.4697265625
0f,2023-09-05 14:46:58,226.16455078125
0f,2023-09-05 14:46:59,192.94189453125
